,mean,ci_lower,ci_upper,std
ari,0.09504424365855668,0.08031242666819008,0.10798411130410797,0.00676821864394277
nmi,0.19769514459267362,0.1793717267461043,0.2120625115298208,0.00828315309498449
purity,0.4472164119066773,0.4259251810136766,0.46906677393403057,0.01238357785355273
hungarian_acc,0.2899919549477072,0.2669750603378922,0.3173974255832663,0.012285203155810609
homogeneity,0.21397389610501188,0.19273466462527838,0.23171340586771758,0.009241384220625641
completeness,0.18373388593456685,0.1673891464558781,0.19708984297995077,0.00768048927683305
v_measure,0.19769514459267362,0.1793717267461043,0.2120625115298208,0.008283153094984489
